profile,delay_ms,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
X25519,0,117,200,0.000100,0.001875,0.002405,0.002417
X25519,0,118,200,0.000115,0.002025,0.002606,0.002619
X25519,0,119,200,0.000114,0.001970,0.002504,0.002520
X25519,0,120,200,0.000104,0.001904,0.002475,0.002488
X25519,0,121,200,0.000117,0.002004,0.002591,0.002605
X25519,0,122,200,0.000105,0.001894,0.002528,0.002543
X25519,0,123,200,0.000111,0.001946,0.002767,0.002779
X25519,0,124,200,0.000116,0.002167,0.002731,0.002745
X25519,0,125,200,0.000116,0.001970,0.002534,0.002548
X25519,0,126,200,0.000108,0.002016,0.002579,0.002591
X25519,0,127,200,0.000115,0.001887,0.002478,0.002492
X25519,0,128,200,0.000111,0.001949,0.002500,0.002513
X25519,0,129,200,0.000124,0.001926,0.002493,0.002506
X25519,0,130,200,0.000122,0.001990,0.002598,0.002616
X25519,0,131,200,0.000103,0.001905,0.002436,0.002449
X25519,0,132,200,0.000098,0.001872,0.002542,0.002556
X25519,0,133,200,0.000111,0.001964,0.002481,0.002492
X25519,0,134,200,0.000099,0.001902,0.002538,0.002549
X25519,0,135,200,0.000106,0.001933,0.002458,0.002470
X25519,0,136,200,0.000126,0.001891,0.002471,0.002484
X25519,0,137,200,0.000114,0.001948,0.002540,0.002555
X25519,0,138,200,0.000114,0.001903,0.002488,0.002503
X25519,0,139,200,0.000105,0.001916,0.002613,0.002630
X25519,0,140,200,0.000123,0.001881,0.002460,0.002474
X25519,0,141,200,0.000131,0.001928,0.002489,0.002519
X25519,0,142,200,0.000116,0.001863,0.002453,0.002469
X25519,0,143,200,0.000103,0.002388,0.003002,0.003014
X25519,0,144,200,0.000095,0.001943,0.002467,0.002487
X25519,0,145,200,0.000143,0.001943,0.002522,0.002536
X25519,0,146,200,0.000101,0.001935,0.002481,0.002497
X25519,0,147,200,0.000110,0.002019,0.002564,0.002577
X25519,0,148,200,0.000103,0.001918,0.002451,0.002464
X25519,0,149,200,0.000126,0.001983,0.002651,0.002667
X25519,0,150,200,0.000103,0.001892,0.002477,0.002489
X25519,0,151,200,0.000110,0.001915,0.002487,0.002504
X25519,0,152,200,0.000141,0.002237,0.002803,0.002823
X25519,0,153,200,0.000119,0.001988,0.002577,0.002589
X25519,0,154,200,0.000091,0.001859,0.002469,0.002492
X25519,0,155,200,0.000109,0.001949,0.002527,0.002539
X25519,0,156,200,0.000117,0.001930,0.002527,0.002541
X25519,0,157,200,0.000111,0.001998,0.002558,0.002587
X25519,0,158,200,0.000126,0.001873,0.002447,0.002458
X25519,0,159,200,0.000104,0.002007,0.002584,0.002595
X25519,0,160,200,0.000116,0.001860,0.002452,0.002465
X25519,0,161,200,0.000115,0.002049,0.002656,0.002671
X25519,0,162,200,0.000122,0.001874,0.002457,0.002473
X25519,0,163,200,0.000124,0.001945,0.002514,0.002527
X25519,0,164,200,0.000105,0.001900,0.002474,0.002487
X25519,0,165,200,0.000099,0.001864,0.002383,0.002394
X25519,0,166,200,0.000114,0.001939,0.002512,0.002524
X25519,0,167,200,0.000108,0.001886,0.002453,0.002464
