profile,delay_ms,iter,http_code,time_connect,time_appconnect,time_starttransfer,time_total
X25519MLKEM768,0,138,200,0.000105,0.002055,0.002686,0.002699
X25519MLKEM768,0,139,200,0.000107,0.002014,0.002630,0.002641
X25519MLKEM768,0,140,200,0.000111,0.002048,0.002646,0.002660
X25519MLKEM768,0,141,200,0.000104,0.002262,0.002856,0.002869
X25519MLKEM768,0,142,200,0.000103,0.002221,0.002814,0.002826
X25519MLKEM768,0,143,200,0.000099,0.002126,0.002760,0.002779
X25519MLKEM768,0,144,200,0.000123,0.002016,0.002654,0.002669
X25519MLKEM768,0,145,200,0.000104,0.002044,0.002681,0.002693
X25519MLKEM768,0,146,200,0.000104,0.002075,0.002604,0.002615
X25519MLKEM768,0,147,200,0.000110,0.002227,0.002760,0.002773
X25519MLKEM768,0,148,200,0.000107,0.002338,0.002990,0.003004
X25519MLKEM768,0,149,200,0.000111,0.002196,0.002810,0.002824
X25519MLKEM768,0,150,200,0.000106,0.002075,0.002725,0.002737
X25519MLKEM768,0,151,200,0.000108,0.002043,0.002685,0.002700
X25519MLKEM768,0,152,200,0.000101,0.002016,0.002636,0.002647
X25519MLKEM768,0,153,200,0.000104,0.002214,0.002848,0.002860
X25519MLKEM768,0,154,200,0.000099,0.002029,0.002582,0.002596
X25519MLKEM768,0,155,200,0.000099,0.001972,0.002547,0.002559
X25519MLKEM768,0,156,200,0.000106,0.002080,0.002675,0.002688
X25519MLKEM768,0,157,200,0.000127,0.002044,0.002718,0.002731
X25519MLKEM768,0,158,200,0.000134,0.002421,0.003080,0.003093
X25519MLKEM768,0,159,200,0.000099,0.002003,0.002552,0.002564
X25519MLKEM768,0,160,200,0.000128,0.002068,0.002759,0.002773
X25519MLKEM768,0,161,200,0.000148,0.002069,0.002673,0.002686
X25519MLKEM768,0,162,200,0.000116,0.002109,0.002796,0.002806
X25519MLKEM768,0,163,200,0.000106,0.002037,0.002660,0.002673
X25519MLKEM768,0,164,200,0.000102,0.002015,0.002574,0.002597
X25519MLKEM768,0,165,200,0.000111,0.002619,0.003269,0.003282
X25519MLKEM768,0,166,200,0.000109,0.002026,0.002705,0.002717
X25519MLKEM768,0,167,200,0.000114,0.002092,0.002747,0.002761
X25519MLKEM768,0,168,200,0.000129,0.002112,0.002709,0.002727
X25519MLKEM768,0,169,200,0.000117,0.002144,0.002737,0.002749
X25519MLKEM768,0,170,200,0.000115,0.002086,0.002782,0.002796
X25519MLKEM768,0,171,200,0.000107,0.002133,0.002751,0.002765
X25519MLKEM768,0,172,200,0.000100,0.002034,0.002690,0.002706
X25519MLKEM768,0,173,200,0.000120,0.002050,0.002690,0.002703
X25519MLKEM768,0,174,200,0.000118,0.002030,0.002597,0.002609
X25519MLKEM768,0,175,200,0.000110,0.002142,0.002836,0.002851
X25519MLKEM768,0,176,200,0.000126,0.002221,0.002852,0.002865
X25519MLKEM768,0,177,200,0.000112,0.002032,0.002701,0.002715
X25519MLKEM768,0,178,200,0.000114,0.002097,0.002720,0.002733
X25519MLKEM768,0,179,200,0.000121,0.002017,0.002555,0.002569
X25519MLKEM768,0,180,200,0.000103,0.002021,0.002612,0.002623
X25519MLKEM768,0,181,200,0.000111,0.002090,0.002629,0.002644
X25519MLKEM768,0,182,200,0.000125,0.002000,0.002595,0.002609
X25519MLKEM768,0,183,200,0.000111,0.002072,0.002699,0.002714
X25519MLKEM768,0,184,200,0.000107,0.002268,0.002813,0.002826
X25519MLKEM768,0,185,200,0.000105,0.002015,0.002561,0.002575
X25519MLKEM768,0,186,200,0.000107,0.002102,0.002753,0.002765
X25519MLKEM768,0,187,200,0.000102,0.002006,0.002573,0.002598
X25519MLKEM768,0,188,200,0.000102,0.001955,0.002516,0.002531
X25519MLKEM768,0,189,200,0.000108,0.002216,0.002851,0.002864
X25519MLKEM768,0,190,200,0.000113,0.002091,0.002649,0.002661
X25519MLKEM768,0,191,200,0.000108,0.001983,0.002575,0.002590
X25519MLKEM768,0,192,200,0.000111,0.002117,0.002685,0.002697
X25519MLKEM768,0,193,200,0.000115,0.002148,0.002735,0.002747
X25519MLKEM768,0,194,200,0.000112,0.002033,0.002598,0.002613
X25519MLKEM768,0,195,200,0.000107,0.002018,0.002624,0.002636
X25519MLKEM768,0,196,200,0.000112,0.002283,0.002879,0.002892
X25519MLKEM768,0,197,200,0.000108,0.002034,0.002589,0.002603
X25519MLKEM768,0,198,200,0.000112,0.002009,0.002588,0.002602
X25519MLKEM768,0,199,200,0.000110,0.002076,0.002663,0.002677
X25519MLKEM768,0,200,200,0.000117,0.002052,0.002615,0.002630
X25519MLKEM768,10,1,200,0.000109,0.002038,0.012800,0.012826
X25519MLKEM768,10,2,200,0.000109,0.002189,0.013116,0.013135
X25519MLKEM768,10,3,200,0.000107,0.001996,0.012701,0.012722
X25519MLKEM768,10,4,200,0.000118,0.002125,0.012901,0.012926
X25519MLKEM768,10,5,200,0.000109,0.002349,0.013421,0.013446
X25519MLKEM768,10,6,200,0.000138,0.002330,0.013181,0.013200
X25519MLKEM768,10,7,200,0.000117,0.002300,0.013073,0.013100
X25519MLKEM768,10,8,200,0.000119,0.002270,0.013146,0.013169
X25519MLKEM768,10,9,200,0.000122,0.002134,0.012886,0.012912
X25519MLKEM768,10,10,200,0.000117,0.002648,0.013433,0.013453
X25519MLKEM768,10,11,200,0.000106,0.002247,0.013080,0.013102
X25519MLKEM768,10,12,200,0.000124,0.002035,0.012738,0.012760
X25519MLKEM768,10,13,200,0.000120,0.002290,0.013030,0.013055
X25519MLKEM768,10,14,200,0.000118,0.002722,0.013501,0.013516
X25519MLKEM768,10,15,200,0.000129,0.002059,0.013004,0.013029
X25519MLKEM768,10,16,200,0.000116,0.002764,0.013473,0.013486
X25519MLKEM768,10,17,200,0.000135,0.002018,0.012838,0.012860
X25519MLKEM768,10,18,200,0.000110,0.002075,0.012863,0.012884
X25519MLKEM768,10,19,200,0.000120,0.002156,0.012886,0.012908
X25519MLKEM768,10,20,200,0.000115,0.002729,0.013468,0.013480
X25519MLKEM768,10,21,200,0.000135,0.002884,0.013618,0.013641
X25519MLKEM768,10,22,200,0.000130,0.002128,0.012991,0.013015
X25519MLKEM768,10,23,200,0.000125,0.002407,0.013311,0.013328
X25519MLKEM768,10,24,200,0.000144,0.002369,0.013133,0.013157
X25519MLKEM768,10,25,200,0.000113,0.002004,0.013000,0.013012
X25519MLKEM768,10,26,200,0.000106,0.002074,0.012986,0.013011
X25519MLKEM768,10,27,200,0.000127,0.002059,0.012992,0.013029
X25519MLKEM768,10,28,200,0.000118,0.002066,0.012923,0.012948
X25519MLKEM768,10,29,200,0.000135,0.002785,0.013688,0.013720
X25519MLKEM768,10,30,200,0.000112,0.002261,0.013192,0.013216
X25519MLKEM768,10,31,200,0.000120,0.002044,0.012870,0.012886
X25519MLKEM768,10,32,200,0.000125,0.002126,0.012979,0.012999
X25519MLKEM768,10,33,200,0.000134,0.002097,0.012899,0.012911
X25519MLKEM768,10,34,200,0.000118,0.002145,0.013131,0.013156
X25519MLKEM768,10,35,200,0.000125,0.002129,0.012985,0.013005
X25519MLKEM768,10,36,200,0.000138,0.002194,0.013077,0.013099
X25519MLKEM768,10,37,200,0.000129,0.002627,0.013371,0.013396
X25519MLKEM768,10,38,200,0.000125,0.002499,0.013360,0.013379
X25519MLKEM768,10,39,200,0.000126,0.002539,0.013282,0.013295
X25519MLKEM768,10,40,200,0.000119,0.002112,0.012968,0.012989
X25519MLKEM768,10,41,200,0.000108,0.002072,0.012884,0.012901
X25519MLKEM768,10,42,200,0.000108,0.002133,0.012952,0.012968
X25519MLKEM768,10,43,200,0.000118,0.002100,0.013170,0.013187
X25519MLKEM768,10,44,200,0.000123,0.002379,0.013145,0.013167
X25519MLKEM768,10,45,200,0.000113,0.002083,0.012974,0.012995
X25519MLKEM768,10,46,200,0.000109,0.002121,0.012883,0.012907
X25519MLKEM768,10,47,200,0.000112,0.002260,0.013103,0.013129
X25519MLKEM768,10,48,200,0.000112,0.002092,0.012966,0.012987
X25519MLKEM768,10,49,200,0.000114,0.002058,0.013016,0.013028
X25519MLKEM768,10,50,200,0.000117,0.002240,0.013147,0.013167
X25519MLKEM768,10,51,200,0.000117,0.002410,0.013418,0.013436
X25519MLKEM768,10,52,200,0.000110,0.002983,0.013893,0.013912
X25519MLKEM768,10,53,200,0.000120,0.002862,0.013772,0.013800
X25519MLKEM768,10,54,200,0.000131,0.002287,0.013212,0.013235
X25519MLKEM768,10,55,200,0.000128,0.002278,0.013203,0.013236
X25519MLKEM768,10,56,200,0.000132,0.002917,0.013862,0.013882
X25519MLKEM768,10,57,200,0.000128,0.002697,0.013848,0.013875
X25519MLKEM768,10,58,200,0.000126,0.002841,0.013837,0.013858
X25519MLKEM768,10,59,200,0.000132,0.002807,0.013740,0.013759
X25519MLKEM768,10,60,200,0.000191,0.002736,0.013811,0.013838
X25519MLKEM768,10,61,200,0.000140,0.002661,0.013748,0.013768
X25519MLKEM768,10,62,200,0.000152,0.002725,0.014012,0.014040
X25519MLKEM768,10,63,200,0.000164,0.002664,0.013548,0.013569
X25519MLKEM768,10,64,200,0.000164,0.002809,0.013917,0.013950
X25519MLKEM768,10,65,200,0.000175,0.003358,0.014323,0.014345
X25519MLKEM768,10,66,200,0.000127,0.002624,0.013695,0.013711
X25519MLKEM768,10,67,200,0.000241,0.002754,0.013796,0.013817
X25519MLKEM768,10,68,200,0.000165,0.003221,0.014077,0.014095
